Model,Task,Mode,Accuracy,Precision,Recall,F1
gemini-2.5-flash,hearsay,few-shot,86.2%,83.3%,85.4%,84.3%
gemini-2.5-flash,hearsay,cot,87.2%,85.4%,85.4%,85.4%
gemini-2.5-flash,hearsay,sd,76.6%,66.1%,95.1%,78%
gemini-2.5-flash,hearsay,sd-no-comp,76.6%,65.6%,97.6%,78.4%
gemini-2.5-flash,hearsay,sd-direct,67%,57.1%,97.6%,72.1%
gemini-2.5-flash,hearsay,sd-direct-no-comp,68.1%,58.2%,95.1%,72.2%
gemini-2.5-flash,method_application,few-shot,83%,95%,73.1%,82.6%
gemini-2.5-flash,method_application,cot,83%,100%,69.2%,81.8%
gemini-2.5-flash,method_application,sd,92.6%,88.1%,100%,93.7%
gemini-2.5-flash,method_application,sd-no-comp,93.6%,89.7%,100%,94.5%
gemini-2.5-flash,method_application,sd-direct,90.4%,87.7%,96.2%,91.7%
gemini-2.5-flash,method_application,sd-direct-no-comp,91.5%,89.3%,96.2%,92.6%
gemini-2.5-flash,eligibility_nli,few-shot,77.7%,88.2%,63.8%,74.1%
gemini-2.5-flash,eligibility_nli,cot,74.5%,89.7%,55.3%,68.4%
gemini-2.5-flash,eligibility_nli,sd,73.4%,89.3%,53.2%,66.7%
gemini-2.5-flash,eligibility_nli,sd-no-comp,73.4%,80.6%,61.7%,69.9%
gemini-2.5-flash,eligibility_nli,sd-direct,66%,67.4%,61.7%,64.4%
gemini-2.5-flash,eligibility_nli,sd-direct-no-comp,59.6%,59.2%,61.7%,60.4%
qwen-3,hearsay,few-shot,75.5%,69.6%,78%,73.6%
qwen-3,hearsay,cot,87.2%,83.7%,87.8%,85.7%
qwen-3,hearsay,sd,58.5%,51.6%,80.5%,62.9%
qwen-3,hearsay,sd-no-comp,59.6%,51.9%,100%,68.3%
qwen-3,hearsay,sd-direct,74.5%,67.3%,80.5%,73.3%
qwen-3,hearsay,sd-direct-no-comp,70.2%,60.3%,92.7%,73.1%
qwen-3,method_application,few-shot,79.8%,80%,84.6%,82.2%
qwen-3,method_application,cot,76.6%,85.7%,69.2%,76.6%
qwen-3,method_application,sd,71.3%,66.7%,96.2%,78.7%
qwen-3,method_application,sd-no-comp,74.5%,71.2%,90.4%,79.7%
qwen-3,method_application,sd-direct,79.8%,78%,88.5%,82.9%
qwen-3,method_application,sd-direct-no-comp,79.8%,80%,84.6%,82.2%
qwen-3,eligibility_nli,few-shot,81.9%,87.5%,74.5%,80.5%
qwen-3,eligibility_nli,cot,77.7%,90.6%,61.7%,73.4%
