split,text,answer,domain,task
train,"The proposed << mechanism >> includes title-driven name recognition , [[ adaptive dynamic word formation ]] , identification of 2-character and 3-character Chinese names without title .",PART-OF,science,scierc_relation
train,"On this challenging data set our [[ system ]] consistently demonstrated a nearly perfect recognition rate -LRB- over 99.7 % on all three databases -RRB- , significantly out-performing state-of-the-art << commercial software >> and methods from the literature .",COMPARE,science,scierc_relation
train,This poster presents an approach to spelling correction in agglutinative languages that is based on [[ two-level morphology ]] and a << dynamic-programming based search algorithm >> .,CONJUNCTION,science,scierc_relation
train,"This paper investigates the utility of applying standard << MT evaluation methods >> -LRB- [[ BLEU ]] , NIST , WER and PER -RRB- to building classifiers to predict semantic equivalence and entailment .",HYPONYM-OF,science,scierc_relation
train,"Furthermore , we propose the use of standard parser evaluation methods for automatically evaluating the [[ summarization quality ]] of << sentence condensation systems >> .",EVALUATE-FOR,science,scierc_relation
test,Our results not only show that similar distinguishing speech processes were identified ; our [[ APT-based classifier ]] yielded better classification accuracy than the << MPT-based classifier >> whilst using fewer classification features .,COMPARE,science,scierc_relation
test,"By using [[ commands ]] or << rules >> which are defined to facilitate the construction of format expected or some mathematical expressions , elaborate and pretty documents can be successfully obtained .",CONJUNCTION,science,scierc_relation
test,"The [[ transfer phase ]] in << machine translation -LRB- MT -RRB- systems >> has been considered to be more complicated than analysis and generation , since it is inherently a conglomeration of individual lexical rules .",PART-OF,science,scierc_relation
test,A deterministic parser is under development which represents a departure from traditional deterministic parsers in that << it >> combines both [[ symbolic and connectionist components ]] .,PART-OF,science,scierc_relation
test,"We also introduce a new strategy , called Begin/After tagging or BIA , and show that [[ it ]] is competitive to the best other << strategies >> .",COMPARE,science,scierc_relation
test,Effectiveness of the proposed << framework >> was confirmed in the [[ success rate of retrieval ]] and the average number of turns for information access .,EVALUATE-FOR,science,scierc_relation
test,It demonstrates that the proposed [[ cluster tree ]] achieves better temporal consistency than the previous << sequential and non-sequential tracking approaches >> .,COMPARE,science,scierc_relation
test,"In this paper , we present an << unlexicalized parser >> for German which employs smoothing and suffix analysis to achieve a [[ labelled bracket F-score ]] of 76.2 , higher than previously reported results on the NEGRA corpus .",EVALUATE-FOR,science,scierc_relation
test,Experimental results indicate that the new << algorithm >> is able to achieve an [[ average packing utilization ]] of more than 87 % .,EVALUATE-FOR,science,scierc_relation
test,"Furthermore , we introduce global variables in the model , which can represent << global properties >> such as translation , scale or [[ viewpoint ]] .",HYPONYM-OF,science,scierc_relation
test,Two main classes of << approaches >> have been studied to perform monocular nonrigid 3D reconstruction : Template-based methods and [[ Non-rigid Structure from Motion techniques ]] .,HYPONYM-OF,science,scierc_relation
train,<< Synchronous dependency insertion grammars >> are a version of synchronous grammars defined on [[ dependency trees ]] .,FEATURE-OF,science,scierc_relation
test,"The system participated in all the tracks of the << segmentation bakeoff >> -- PK-open , PK-closed , AS-open , AS-closed , HK-open , [[ HK-closed ]] , MSR-open and MSR - closed -- and achieved the state-of-the-art performance in MSR-open , MSR-close and PK-open tracks .",HYPONYM-OF,science,scierc_relation
test,"In contrast to other works that address this problem using multiple classifiers , each one specialized for a specific orientation , we propose a simple two-step << approach >> with an [[ estimation stage ]] and a classification stage .",PART-OF,science,scierc_relation
test,"We show that the [[ trainable sentence planner ]] performs better than the << rule-based systems >> and the baselines , and as well as the hand-crafted system .",COMPARE,science,scierc_relation
train,The parser computes a compact [[ parse forest representation ]] of the complete set of possible analyses for << large treebank grammars >> and long input sentences .,USED-FOR,science,scierc_relation
test,This paper proposes a method for learning joint embed-dings of images and text using a << two-branch neural network >> with multiple layers of linear projections followed by [[ nonlinearities ]] .,PART-OF,science,scierc_relation
test,A consequence of that framework was a proposal for a new [[ approach ]] to the << segmentation of complex scenes >> into regions corresponding to coherent surfaces rather than merely regions of similar color .,USED-FOR,science,scierc_relation
test,"A << declarative formalism >> is presented which permits [[ direct mappings of one feature structure into another ]] , and illustrative examples are given of its application to areas of current interest .",FEATURE-OF,science,scierc_relation
test,Our experiments also show that current technology for extracting subcategorization frames initially designed for [[ written texts ]] works equally well for << spoken language >> .,COMPARE,science,scierc_relation
test,A [[ random modulation scheme ]] produces << near-Bernoulli statistics >> even for highly correlated inputs .,USED-FOR,science,scierc_relation
test,We provide a detailed preliminary analysis of << inter-annotator agreement >> - both the level of agreement and the types of [[ inter-annotator variation ]] .,FEATURE-OF,science,scierc_relation
test,"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , [[ vibrations ]] , << electrical system voltage level >> , and ambient sound .",CONJUNCTION,science,scierc_relation
test,"We describe a new << system >> that enhances Criterion 's capability , by evaluating multiple aspects of [[ coherence in essays ]] .",EVALUATE-FOR,science,scierc_relation
test,Sentence ambiguities can be resolved by using [[ domain targeted preference knowledge ]] without using complicated large << knowledgebases >> .,COMPARE,science,scierc_relation
test,We provide a detailed preliminary analysis of << inter-annotator agreement >> - both the [[ level of agreement ]] and the types of inter-annotator variation .,FEATURE-OF,science,scierc_relation
test,The system was then transferred from the [[ RM task ]] to the << ATIS CSR task >> and a limited number of development tests performed .,CONJUNCTION,science,scierc_relation
test,The method has been successfully applied to << robust automatic speech recognition >> in [[ reverberant environments ]] by model selection .,FEATURE-OF,science,scierc_relation
test,"A method of sense resolution is proposed that is based on WordNet , an on-line lexical database that incorporates semantic relations -LRB- synonymy , antonymy , [[ hyponymy ]] , << meronymy >> , causal and troponymic entailment -RRB- as labeled pointers between word senses .",CONJUNCTION,science,scierc_relation
test,This [[ topology ]] is then incorporated into the << Hidden Conditional Ordinal Random Field -LRB- H-CORF -RRB- framework >> for dynamic ordinal regression by constraining H-CORF parameters to lie on the ordinal manifold .,PART-OF,science,scierc_relation
test,"Second , we devise a new << track clustering cost function >> that includes [[ occlusion reasoning ]] , in the form of depth ordering constraints , as well as motion similarity along the tracks .",PART-OF,science,scierc_relation
test,[[ It ]] is demonstrated qualitatively and quantitatively on a dataset of scenes and is suitable for current work in << unsupervised object discovery >> without top-down knowledge .,USED-FOR,science,scierc_relation
test,"We demonstrate that for certain << field structured extraction tasks >> , such as classified advertisements and [[ bibliographic citations ]] , small amounts of prior knowledge can be used to learn effective models in a primarily unsupervised fashion .",HYPONYM-OF,science,scierc_relation
test,"Based on a corpus annotation project , this paper reports the discursive usage of 6 << Chinese punctuation marks >> in news commentary texts : Colon , Dash , Ellipsis , Exclamation Mark , Question Mark , and [[ Semicolon ]] .",HYPONYM-OF,science,scierc_relation
test,"We show these properties by thorough testing on standard databases and on a new << database >> made of motorbikes under planar rotations , and with challenging [[ conditions ]] such as cluttered backgrounds , changing illumination conditions and partial occlusions .",FEATURE-OF,science,scierc_relation
test,A [[ deterministic parser ]] is under development which represents a departure from traditional << deterministic parsers >> in that it combines both symbolic and connectionist components .,COMPARE,science,scierc_relation
test,Both [[ rhetorical structure ]] and punctuation have been helpful in << discourse processing >> .,USED-FOR,science,scierc_relation
test,"In experiments using the [[ Penn WSJ corpus ]] , our automatically trained model gave a performance of 86.6 % -LRB- F1 , sentences < 40 words -RRB- , which is comparable to that of an << unlexicalized PCFG parser >> created using extensive manual feature selection .",EVALUATE-FOR,science,scierc_relation
test,"Our << system >> incorporates a [[ linguistic parser/generator ]] for LFG , a transfer component for parse reduction operating on packed parse forests , and a maximum-entropy model for stochastic output selection .",PART-OF,science,scierc_relation
test,The format of the << corpus >> adopts the [[ Child Language Data Exchange System -LRB- CHILDES -RRB- ]] .,FEATURE-OF,science,scierc_relation
test,"The << model >> gives an [[ F-measure ]] improvement of ~ 1.25 % beyond the base parser , and an ~ 0.25 % improvement beyond Collins -LRB- 2000 -RRB- reranker .",EVALUATE-FOR,science,scierc_relation
test,We show that various features based on the structure of email-threads can be used to improve upon [[ lexical similarity ]] of << discourse segments >> for question-answer pairing .,FEATURE-OF,science,scierc_relation
test,"On the other hand , the << manifold learning methods >> suggest to use the [[ Euclidean distance ]] in the local range , combining with the graphical relationship between samples , for approximating the geodesic distance .",USED-FOR,science,scierc_relation
test,"Compared with previous [[ model-based approaches ]] , our << approach >> has the following advantages .",COMPARE,science,scierc_relation
test,We then develop a deep triplet-ranking model for instance-level SBIR with a novel [[ data augmentation ]] and << staged pre-training strategy >> to alleviate the issue of insufficient fine-grained training data .,CONJUNCTION,science,scierc_relation
test,"We compare the lexically-induced relations with the original << MeSH relations >> : after a quantitative evaluation of their congruence through [[ recall and precision metrics ]] , we perform a qualitative , human analysis ofthe ` new ' relations not present in the MeSH .",EVALUATE-FOR,science,scierc_relation
test,"The issue of system response to users has been extensively studied by the [[ natural language generation community ]] , though rarely in the context of << dialog systems >> .",COMPARE,science,scierc_relation
test,This paper proposes a new << methodology >> to improve the accuracy of a [[ term aggregation system ]] using each author 's text as a coherent corpus .,EVALUATE-FOR,science,scierc_relation
test,"[[ Dictionary construction ]] , one of the most difficult tasks in developing a << machine translation system >> , is expensive .",PART-OF,science,scierc_relation
test,The development and evolution of such a hybrid architecture has lead to a [[ parser ]] which is superior to any known << deterministic parser >> .,COMPARE,science,scierc_relation
test,We present a new method for << detecting interest points >> using [[ histogram information ]] .,USED-FOR,science,scierc_relation
